Which comic characters are painted by Bill Finger?	SELECT DISTINCT ?uri WHERE {?uri dbo:creator dbr:Bill_Finger  . ?uri rdf:type dbo:ComicsCharacter}
For which party's PM did Chidambaram Subramaniam serve?	SELECT DISTINCT ?uri WHERE { dbr:Chidambaram_Subramaniam dbp:primeminister ?x . ?x dbo:party ?uri  . }

Which bacteria's taxonomic class is Bacilli?	SELECT DISTINCT ?uri WHERE {?uri dbo:class dbr:Bacilli  . ?uri rdf:type dbo:Bacteria}

Who was the prime minister of Victor Hope 2nd Marquess of Linlithgow and also the editor of British Gazette ?	 SELECT DISTINCT ?uri WHERE { dbr:Victor_Hope_2nd_Marquess_of_Linlithgow dbp:primeminister ?uri. dbr:British_Gazette dbp:editor ?uri}

Is the magnolia place of the greek revival architectural style?	ASK WHERE { dbr:Magnolia_Place dbo:architecturalStyle dbr:Greek_Revival_architecture }

Name the fictional character whose relative are Duck family and Clan McDuck?	SELECT DISTINCT ?uri WHERE {?uri dbo:relative dbr:Duck_family_(Disney) . ?uri dbp:relatives dbr:Clan_McDuck  . ?uri rdf:type dbo:FictionalCharacter}

List the movies whose cast member were born in Scotland.	SELECT DISTINCT ?uri WHERE { ?x dbo:birthPlace dbr:Scotland . ?uri dbo:starring ?x  . ?uri rdf:type dbo:Film}

Name the movies distributed by Warner Bros. and directed by Ridley Scott ?	SELECT DISTINCT ?uri WHERE {?uri dbp:distributor dbr:Warner_Bros. . ?uri dbp:director dbr:Ridley_Scott  . ?uri rdf:type dbo:Film}

Which recognized title of Frank Thorne is also the product of Playboy Enterprise ?	 SELECT DISTINCT ?uri WHERE { dbr:Playboy_Enterprises dbp:products ?uri. dbr:Frank_Thorne dbo:award ?uri}

Who is the publisher of the comic one of whose authors is Kentaro Takekuma ?	SELECT DISTINCT ?uri WHERE { ?x dbp:writers dbr:Kentaro_Takekuma . ?x dbp:publisher ?uri  . ?x rdf:type dbo:Comic}

What was the result of Operation Autumn Clouds ?	 SELECT DISTINCT ?uri WHERE { dbr:Operation_Autumn_Clouds dbp:result ?uri }

List the significant building of the architect who also designed  Kiev?	SELECT DISTINCT ?uri WHERE { ?x dbo:significantBuilding dbr:Kiev . ?x dbo:significantBuilding ?uri  . ?x rdf:type dbo:Architect}

Was George Washington on the rank of general?	ASK WHERE { dbr:George_Washington dbo:militaryRank dbr:General_(United_States) }

What softwares were created by Apple Productivity Experience Group ?	 SELECT DISTINCT ?uri WHERE { dbr:Apple_Productivity_Experience_Group dbo:product ?uri }

Count the number of judges who've come on CTV network shows.	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:network dbr:CTV_Television_Network . ?x dbp:judges ?uri  . }

What are the shows whose creator has worked as a screenwriter?	SELECT DISTINCT ?uri WHERE { ?x dbo:occupation dbr:Screenwriting . ?uri dbo:creator ?x  . ?uri rdf:type dbo:TelevisionShow}

Who is the person whose opponent's father is Newman Haynes Clanton?	SELECT DISTINCT ?uri WHERE { ?x dbo:parent dbr:Newman_Haynes_Clanton . ?uri dbo:opponent ?x  . }

What is the mountain whose parent mountain peak is Nevado de Toluca?	SELECT DISTINCT ?uri WHERE {?uri dbo:parentMountainPeak dbr:Nevado_de_Toluca  . ?uri rdf:type dbo:Mountain}

Which religions are practiced in India?	SELECT DISTINCT ?uri WHERE { ?x dbo:hometown dbr:India . ?x dbp:religion ?uri  . }

What is the Recorded of the Kaptaan is also the headquarters of the Orient News ?	 SELECT DISTINCT ?uri WHERE { dbr:Kaptaan dbp:recorded ?uri. dbr:Orient_News dbp:headquarters ?uri}

Is Gaza Strip the result of Operation Autumn Clouds?	ASK WHERE { dbr:Operation_Autumn_Clouds dbp:result dbr:Gaza_Strip }

Name the office holder whose predecessor is Henry E. Catto Jr. and successor is Adrian A. Basora?	SELECT DISTINCT ?uri WHERE {?uri dbp:predecessor dbr:Henry_E._Catto_Jr. . ?uri dbp:successor dbr:Adrian_A._Basora  . ?uri rdf:type dbo:OfficeHolder}

?What are the airline hubs of Cascade Airways	 SELECT DISTINCT ?uri WHERE { dbr:Cascade_Airways dbp:hubs ?uri }

Is the Frank R Lillie House has the Chicago architecture?	ASK WHERE { dbr:Frank_R._Lillie_House dbo:architecturalStyle dbr:Chicago }

Grey gppse and eristoff is produced by which company?	SELECT DISTINCT ?uri WHERE { dbr:Grey_Goose_(vodka) dbp:manufacturer ?uri. dbr:Eristoff dbp:manufacturer ?uri . }

Which politician's constituency is led by the SF Board of Supervisors?	SELECT DISTINCT ?uri WHERE { ?x dbp:leaderTitle dbr:San_Francisco_Board_of_Supervisors . ?uri dbp:constituency ?x  . ?uri rdf:type dbo:OfficeHolder}

Name the common musical band of Take Me There and Tonight's the Night ?	SELECT DISTINCT ?uri WHERE { dbr:Take_Me_There_(Blackstreet_&_Mýa_song) dbo:musicalBand ?uri. dbr:Tonight's_the_Night_(Blackstreet_song) dbo:musicalBand ?uri . }

What are the county seats of the region which operates the Boeing Field?	SELECT DISTINCT ?uri WHERE { dbr:Boeing_Field dbo:operator ?x . ?x dbo:countySeat ?uri  . ?x rdf:type dbo:Region}

What is the university whose campus are Indiana and Iowa?	SELECT DISTINCT ?uri WHERE { ?uri dbo:campus dbr:Indiana . ?uri dbo:campus dbr:Iowa . ?uri rdf:type dbo:University}

To which political party does the writer of In the Bazaars of Hyderabad belong?	SELECT DISTINCT ?uri WHERE { dbr:In_the_Bazaars_of_Hyderabad dbp:writer ?x . ?x dbo:party ?uri  . }

List the other members of the band of which Juelz Santana is a part?	SELECT DISTINCT ?uri WHERE { ?x dbp:currentMembers dbr:Juelz_Santana . ?x dbo:bandMember ?uri  . ?x rdf:type dbo:Band}

Where did the 2015 MLS All-Star Game take place?	 SELECT DISTINCT ?uri WHERE { dbr:2015_MLS_All-Star_Game dbp:city ?uri }

What is the style of architecture of Pontiac Building ?	 SELECT DISTINCT ?uri WHERE { dbr:Pontiac_Building dbo:architecturalStyle ?uri }

Name some people working at someplace owned by News Corp.	SELECT DISTINCT ?uri WHERE { ?x dbp:owners dbr:News_Corp . ?uri dbo:employer ?x  . }

Name the constituency of  Jonas Gahr Stre ?	 SELECT DISTINCT ?uri WHERE { dbr:Jonas_Gahr_Støre dbp:constituency ?uri }

What is the mascot of military in Quezon city?	SELECT DISTINCT ?uri WHERE { ?x dbp:garrison dbr:Quezon_City . ?x dbp:mascot ?uri  . ?x rdf:type dbo:MilitaryUnit}

Name the directors of Lennon Legend: The Very Best of John Lennon (DVD) ?	 SELECT DISTINCT ?uri WHERE { dbr:Lennon_Legend:_The_Very_Best_of_John_Lennon_(DVD) dbo:director ?uri }

Who was the president at the time when the opponent of Benjamin Spock held office?	SELECT DISTINCT ?uri WHERE { ?x dbo:opponent dbr:Benjamin_Spock . ?x dbp:incumbent ?uri  . }

For how many other teams have the members of Atlant Moscow Oblast played?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:playedFor dbr:Atlant_Moscow_Oblast . ?x dbo:formerTeam ?uri  . }

What are some products of the company whose parent is BBC?	SELECT DISTINCT ?uri WHERE { ?x dbp:parent dbr:BBC . ?x dbp:products ?uri  . ?x rdf:type dbo:Company}

Janaka Thissakuttiarachchi follows what religion which once employed Atisa Srijnana too?	SELECT DISTINCT ?uri WHERE { dbr:Janaka_Thissakuttiarachchi dbp:religion ?uri. dbr:Atiśa dbo:occupation ?uri . }

How many sports are played in maharashtran schools?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:state dbr:Maharashtra . ?x dbo:sport ?uri  . ?uri rdf:type dbo:Sport}

List the served region of the organisations of Trade association.	SELECT DISTINCT ?uri WHERE { ?x dbo:type dbr:Trade_association . ?x dbo:regionServed ?uri  . ?x rdf:type dbo:Organisation}

Whose famous works have been illustrated by E W Kemble?	SELECT DISTINCT ?uri WHERE { ?x dbp:illustrator dbr:E._W._Kemble . ?uri dbo:notableWork ?x  . }

Who is the owner of the South end ?	 SELECT DISTINCT ?uri WHERE { dbr:The_South_End dbp:owners ?uri }

List down the commanders of Battle of Fort stephenson ?	 SELECT DISTINCT ?uri WHERE { dbr:Battle_of_Fort_Stephenson dbo:commander ?uri }

Which cities of the American Mediterranean Sea has Nickname Entronque de Herradura?	 SELECT DISTINCT ?uri WHERE { dbr:American_Mediterranean_Sea dbp:cities ?uri. dbr:Entronque_de_Herradura dbp:nickname ?uri}

What is the municipality of the Brown's Corners Toronto and also the  place of birth of the George Karrys	 SELECT DISTINCT ?uri WHERE { dbr:Brown's_Corners_Toronto dbo:municipality ?uri. dbr:George_Karrys dbp:placeOfBirth ?uri}

List the books whose authors are in Alcal de Henares.	SELECT DISTINCT ?uri WHERE { ?x dbo:birthPlace dbr:Alcalá_de_Henares . ?uri dbo:author ?x  . ?uri rdf:type dbo:Book}

Is Guatemala a unitary state?	ASK WHERE { dbr:Guatemala dbo:governmentType dbr:Unitary_state }

what are some journals of academic Philosophy	 SELECT DISTINCT ?uri WHERE {?uri dbp:discipline dbr:Philosophy }

By which member of parliament was Provisional Government of Saskatchewan led?	SELECT DISTINCT ?uri WHERE {?uri dbp:order dbr:Provisional_Government_of_Saskatchewan  . ?uri rdf:type dbo:MemberOfParliament}

Did taylor swift do the theme song of The Farmer Wants a Wife?	ASK WHERE { dbr:The_Farmer_Wants_a_Wife_(Australian_TV_series) dbp:opentheme dbr:Taylor_Swift }

Where does the Kentucky cycle take place?	 SELECT DISTINCT ?uri WHERE { dbr:The_Kentucky_Cycle dbp:place ?uri }

Which drinks have emerged from the US?	SELECT DISTINCT ?uri WHERE { ?x dbo:origin dbr:United_States . ?x dbp:locationCity ?uri  . ?x rdf:type dbo:Beverage}

What currencies have been prevalent in the country whose national anthem is La Marseillaise?	SELECT DISTINCT ?uri WHERE { ?x dbo:anthem dbr:La_Marseillaise . ?x dbo:currency ?uri  . }

Name the college of Jon Curran ?	 SELECT DISTINCT ?uri WHERE { dbr:Jon_Curran dbp:college ?uri }

Where is Vietnam Airlines located ?	 SELECT DISTINCT ?uri WHERE { dbr:Vietnam_Airlines dbo:location ?uri }

Who is the chancellor of the university which affiliates the Dartington College of Arts?	SELECT DISTINCT ?uri WHERE { ?x dbp:affiliations dbr:Dartington_College_of_Arts . ?x dbp:chancellor ?uri  . ?x rdf:type dbo:University}

How many sitcoms are there whose theme music is composed by a New Yorker?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:hometown dbr:New_York . ?uri dbp:themeMusicComposer ?x  . ?uri rdf:type dbo:TelevisionShow}

Comcast SportsNet is broadcasted in what area which also has the Michigan Renaissance Festival?	SELECT DISTINCT ?uri WHERE { dbr:Michigan_Renaissance_Festival dbp:location ?uri. dbr:Comcast_SportsNet_Chicago dbo:broadcastArea ?uri . }

List all the tenants of the stadium where the WWF Summer Slam 2004 took place.	SELECT DISTINCT ?uri WHERE { dbr:SummerSlam_(2004) dbp:venue ?x . ?x dbo:tenant ?uri  . }

Which writer of A streetcar Named Desire is also the author of The Catastrophe of Success ?	 SELECT DISTINCT ?uri WHERE { dbr:A_Streetcar_Named_Desire_(play) dbp:writer ?uri. dbr:The_Catastrophe_of_Success dbo:author ?uri}

Which venue of indy PopCon is also the death palce of Louis Le Cocqq ?	 SELECT DISTINCT ?uri WHERE { dbr:Indy_PopCon dbp:venue ?uri. dbr:Louis_LeCocq dbp:placeOfDeath ?uri}

What state was Cyrus Mann born in and has the famous Downriver ?	SELECT DISTINCT ?uri WHERE { dbr:Downriver dbo:state ?uri. dbr:Cyrus_Mann dbp:birthPlace ?uri . }

Who is the appointer of William Cushing ?	 SELECT DISTINCT ?uri WHERE { dbr:William_Cushing dbo:appointer ?uri }

Where is the origin of Filbert's Old Time Root Beer ?	 SELECT DISTINCT ?uri WHERE { dbr:Filbert's_Old_Time_Root_Beer dbo:origin ?uri }

Name the TV show with theme music by Primus and broadcasted on Comedy Central ?	SELECT DISTINCT ?uri WHERE {?uri dbp:network dbr:Comedy_Central . ?uri dbp:themeMusicComposer dbr:Primus_(band)  . ?uri rdf:type dbo:TelevisionShow}

Name the musical band of Written in the Stars ?	 SELECT DISTINCT ?uri WHERE { dbr:Written_in_the_Stars_(Elton_John_and_LeAnn_Rimes_song) dbo:musicalBand ?uri }

List down all the associcated musical artist of the artist of In a Word or 2 ?	SELECT DISTINCT ?uri WHERE { dbr:In_a_Word_or_2 dbp:artist ?x . ?x dbo:associatedMusicalArtist ?uri  . }

Count the affiliations of International Union of Anarchists?	SELECT DISTINCT COUNT(?uri) WHERE { dbr:International_Union_of_Anarchists dbp:affiliation ?uri  . }

Hugh Hefner is editor of which magazine?	SELECT DISTINCT ?uri WHERE {?uri dbp:editor dbr:Hugh_Hefner  . ?uri rdf:type dbo:Magazine}

Which are the previous broadcast networks of sister channels of WGBC?	SELECT DISTINCT ?uri WHERE { dbr:WGBC_(DT2) dbp:sisterStations ?x . ?x dbo:formerBroadcastNetwork ?uri  . }

On which subjects does the author of the novel Thud! delve?	 SELECT DISTINCT ?uri WHERE { dbr:Thud! dbo:nonFictionSubject ?uri }

Is Lancy a city close to Geneva?	ASK WHERE { dbr:Geneva dbo:neighboringMunicipality dbr:Lancy }

Which awards have been given to the horse who sired Triplicate ?	SELECT DISTINCT ?uri WHERE { dbr:Triplicate dbp:sire ?x . ?x dbo:honours ?uri  . }

Who is the american football player whose highschool is Ringgold High School (Pennsylvania)?	 SELECT DISTINCT ?uri WHERE {?uri dbo:highschool dbr:Ringgold_High_School_(Pennsylvania) }

Give me some organizations working for Environmentalism	SELECT DISTINCT ?uri WHERE {?uri dbp:purpose dbr:Environmentalism  . ?uri rdf:type dbo:Organisation}

List books authored by Miguel de Cervantes and published by Francisco de Robles ?	SELECT DISTINCT ?uri WHERE {?uri dbp:author dbr:Miguel_de_Cervantes . ?uri dbo:publisher dbr:Francisco_de_Robles  . ?uri rdf:type dbo:Book}

What territory of Sino French War was the battle of Raoul Magrin-Vernerey fought ?	 SELECT DISTINCT ?uri WHERE { dbr:Sino-French_War dbo:territory ?uri. dbr:Raoul_Magrin-Vernerey dbp:battles ?uri}

Is Wahoo! the previous work of Honeybuns?	ASK WHERE { dbr:Honeybuns dbo:previousWork dbr:Wahoo! }

List the awards given to the race horses bred by Willis Sharpe Kilmer.	SELECT DISTINCT ?uri WHERE { ?x dbo:breeder dbr:Willis_Sharpe_Kilmer . ?x dbo:honours ?uri  . ?x rdf:type dbo:RaceHorse}

What is the constituency of the leader of Labour Party (Norway)?	SELECT DISTINCT ?uri WHERE { dbr:Labour_Party_(Norway) dbp:leader ?x . ?x dbp:constituency ?uri  . }

List the tomb of the royalties whose burial place is Little Easton ?	SELECT DISTINCT ?uri WHERE { ?x dbp:placeOfBurial dbr:Little_Easton . ?x dbp:placeOfBurial ?uri  . ?x rdf:type dbo:Royalty}

The players born in Bellaire Ohio have played for which team?	SELECT DISTINCT ?uri WHERE { ?x dbo:birthPlace dbr:Bellaire_Ohio . ?x dbo:team ?uri  . }

What games can be played in schools founded by Fr. Orlando?	SELECT DISTINCT ?uri WHERE { ?x dbo:foundedBy dbr:Fr._Orlando . ?x dbo:sport ?uri  . ?x rdf:type dbo:School}

What are the television shows whose voices is given by  Mona Marshall?	SELECT DISTINCT ?uri WHERE {?uri dbp:voices dbr:Mona_Marshall  . ?uri rdf:type dbo:TelevisionShow}

Which TV show distributed by Warner Bros. has Christopher Franke as one of the artist ?	SELECT DISTINCT ?uri WHERE {?uri dbp:distributor dbr:Warner_Bros._Television . ?uri dbp:artist dbr:Christopher_Franke  . ?uri rdf:type dbo:TelevisionShow}

Where did the graduates of Memphis Tenessee continue their education?	SELECT DISTINCT ?uri WHERE { ?x dbp:highschool dbr:Memphis_Tennessee . ?x dbo:school ?uri  . }

Is Frontaccounting licensed under GNU license?	ASK WHERE { dbr:Frontaccounting dbo:license dbr:GNU }

Who is the employer of Ralph flanders ?	 SELECT DISTINCT ?uri WHERE { dbr:Ralph_Flanders dbp:occupation ?uri }

What is an airport inside ontario?	SELECT DISTINCT ?uri WHERE {?uri dbp:cityServed dbr:Ontario_California  . ?uri rdf:type dbo:Airport}

What sports are played by school which owns Fr. Agnel Stadium ?	SELECT DISTINCT ?uri WHERE { dbr:Fr._Agnel_Stadium dbp:owner ?x . ?x dbo:sport ?uri  . ?x rdf:type dbo:School}

Which things have been made by artists who died in Midhurst?	SELECT DISTINCT ?uri WHERE { ?x dbo:deathPlace dbr:Midhurst . ?uri dbo:creator ?x  . }

What is the Location of the Peetz Table Wind Energy Center which is also the state of Ben Nighthorse Campbell ?	 SELECT DISTINCT ?uri WHERE { dbr:Peetz_Table_Wind_Energy_Center dbp:location ?uri. dbr:Ben_Nighthorse_Campbell dbp:state ?uri}

What is the citizenship of the Sarah Kazemy and land of the Cervelle de canut	 SELECT DISTINCT ?uri WHERE { dbr:Sarah_Kazemy dbo:citizenship ?uri. dbr:Cervelle_de_canut dbo:country ?uri}

From which team did Marv McFadden played ?	 SELECT DISTINCT ?uri WHERE { dbr:Marv_McFadden dbp:pastteams ?uri }

What is the city whose mayor is Anne Hidalgo?	SELECT DISTINCT ?uri WHERE {?uri dbp:mayor dbr:Anne_Hidalgo  . ?uri rdf:type dbo:Settlement}

Name some dishes made with flowering plants.	SELECT DISTINCT ?uri WHERE { ?x dbo:division dbr:Flowering_plant . ?uri dbo:ingredient ?x  . ?uri rdf:type dbo:Food}

Which nation's engineers have graduated in Poland?	SELECT DISTINCT ?uri WHERE { ?x dbo:education dbr:Poland . ?x dbp:nationality ?uri  . ?x rdf:type dbo:Engineer}

What are some cities which have a Ferris wheel?	SELECT DISTINCT ?uri WHERE { ?x dbp:buildingType dbr:Ferris_wheel . ?x dbp:locationTown ?uri  . }

What is the draft team of Bob MacMillan ?	 SELECT DISTINCT ?uri WHERE { dbr:Bob_MacMillan dbp:draftTeam ?uri }

How many other home stadium are there of the soccer club whose home stadium is Luzhniki Stadium ?	 SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:homeStadium dbr:Luzhniki_Stadium . ?x dbo:homeStadium ?uri }

Which author inspired Susanna Clarke and wrote Northanger Abbey?	SELECT DISTINCT ?uri WHERE { dbr:Northanger_Abbey dbp:author ?uri. dbr:Susanna_Clarke dbp:influences ?uri . }

List the races of Fergie Sutherland?	 SELECT DISTINCT ?uri WHERE { dbr:Fergie_Sutherland dbp:race ?uri }

Where is the  assembly of Caterpillar 797 ?	 SELECT DISTINCT ?uri WHERE { dbr:Caterpillar_797 dbo:assembly ?uri }

In all the places with a stagecoach where is a Peetz Table Wind Energy Center located too?	SELECT DISTINCT ?uri WHERE { dbr:Stagecoach_Colorado dbp:location ?uri. dbr:Peetz_Table_Wind_Energy_Center dbp:location ?uri . }

Which things are Breann McGregor known for ?	 SELECT DISTINCT ?uri WHERE { dbr:Breann_McGregor dbp:knownFor ?uri }

Who is the Pole driver of 1992 Canadian Grand Prix ?	 SELECT DISTINCT ?uri WHERE { dbr:1992_Canadian_Grand_Prix dbp:poleDriver ?uri }

List everything governed by the Democratic Party of US?	SELECT DISTINCT ?uri WHERE { ?x dbo:leaderName dbr:Democratic_Party_(United_States) . ?uri dbo:location ?x  . }

Sentinel High School  team is known as ?	 SELECT DISTINCT ?uri WHERE { dbr:Sentinel_High_School dbp:teamName ?uri }

Of all the teams that Andrew Economos played for which one did Jerrel Jackson play his first game for?	 SELECT DISTINCT ?uri WHERE { dbr:Jerrell_Jackson dbo:debutTeam ?uri. dbr:Andrew_Economos dbo:formerTeam ?uri}

What are some software which are written in languages that are run on Unix like OS?	SELECT DISTINCT ?uri WHERE { ?x dbp:operatingSystem dbr:Unix-like . ?uri dbp:programmingLanguage ?x  . ?uri rdf:type dbo:Software}

Name the movies writtten by the group Monty Python ?	SELECT DISTINCT ?uri WHERE {?uri dbp:writer dbr:Monty_Python  . ?uri rdf:type dbo:Film}

Where did some of the matches take place where Columbus Crew SC played?	SELECT DISTINCT ?uri WHERE { ?x dbp:team dbr:Columbus_Crew_SC . ?x dbo:location ?uri  . ?x rdf:type dbo:FootballMatch}
